Data Table for Cumulative Deaths - The United States
Date generated: Tue Apr 15 2025 06:26:04 GMT+0000 (Coordinated Universal Time)
Geography,Date,Cumulative Deaths,Death Data As Of
United States,Nov 12 2022,1072845,Apr 10 2025
United States,Nov  5 2022,1070629,Apr 10 2025
United States,Oct 29 2022,1068362,Apr 10 2025
United States,Oct 22 2022,1066119,Apr 10 2025
United States,Oct 15 2022,1063855,Apr 10 2025
United States,Oct  8 2022,1061700,Apr 10 2025
United States,Oct  1 2022,1059501,Apr 10 2025
United States,Sep 24 2022,1057103,Apr 10 2025
United States,Sep 17 2022,1054530,Apr 10 2025
United States,Sep 10 2022,1052007,Apr 10 2025
United States,Sep  3 2022,1049183,Apr 10 2025
United States,Aug 27 2022,1046234,Apr 10 2025
United States,Aug 20 2022,1043179,Apr 10 2025
United States,Aug 13 2022,1039996,Apr 10 2025
United States,Aug  6 2022,1036706,Apr 10 2025
United States,Jul 30 2022,1033320,Apr 10 2025
United States,Jul 23 2022,1029905,Apr 10 2025
United States,Jul 16 2022,1026661,Apr 10 2025
United States,Jul  9 2022,1023721,Apr 10 2025
United States,Jul  2 2022,1021113,Apr 10 2025
United States,Jun 25 2022,1018686,Apr 10 2025
United States,Jun 18 2022,1016347,Apr 10 2025
United States,Jun 11 2022,1014136,Apr 10 2025
United States,Jun  4 2022,1011990,Apr 10 2025
United States,May 28 2022,1009977,Apr 10 2025
United States,May 21 2022,1008022,Apr 10 2025
United States,May 14 2022,1006277,Apr 10 2025
United States,May  7 2022,1004594,Apr 10 2025
United States,Apr 30 2022,1003159,Apr 10 2025
United States,Apr 23 2022,1001728,Apr 10 2025
United States,Apr 16 2022,1000373,Apr 10 2025
United States,Apr  9 2022,998959,Apr 10 2025
United States,Apr  2 2022,997388,Apr 10 2025
United States,Mar 26 2022,995467,Apr 10 2025
United States,Mar 19 2022,992955,Apr 10 2025
United States,Mar 12 2022,989819,Apr 10 2025
United States,Mar  5 2022,985410,Apr 10 2025
United States,Feb 26 2022,979342,Apr 10 2025
United States,Feb 19 2022,971042,Apr 10 2025
United States,Feb 12 2022,959475,Apr 10 2025
United States,Feb  5 2022,944149,Apr 10 2025
United States,Jan 29 2022,925391,Apr 10 2025
United States,Jan 22 2022,904417,Apr 10 2025
United States,Jan 15 2022,883072,Apr 10 2025
United States,Jan  8 2022,863982,Apr 10 2025
United States,Jan  1 2022,848854,Apr 10 2025
United States,Dec 25 2021,837175,Apr 10 2025
United States,Dec 18 2021,826717,Apr 10 2025
United States,Dec 11 2021,816467,Apr 10 2025
United States,Dec  4 2021,806733,Apr 10 2025
United States,Nov 27 2021,797952,Apr 10 2025
United States,Nov 20 2021,790066,Apr 10 2025
United States,Nov 13 2021,782756,Apr 10 2025
United States,Nov  6 2021,775597,Apr 10 2025
United States,Oct 30 2021,768310,Apr 10 2025
United States,Oct 23 2021,760350,Apr 10 2025
United States,Oct 16 2021,751409,Apr 10 2025
United States,Oct  9 2021,741531,Apr 10 2025
United States,Oct  2 2021,730351,Apr 10 2025
United States,Sep 25 2021,717521,Apr 10 2025
United States,Sep 18 2021,703174,Apr 10 2025
United States,Sep 11 2021,687963,Apr 10 2025
United States,Sep  4 2021,672546,Apr 10 2025
United States,Aug 28 2021,657053,Apr 10 2025
United States,Aug 21 2021,642879,Apr 10 2025
United States,Aug 14 2021,630698,Apr 10 2025
United States,Aug  7 2021,621292,Apr 10 2025
United States,Jul 31 2021,614808,Apr 10 2025
United States,Jul 24 2021,610703,Apr 10 2025
United States,Jul 17 2021,607943,Apr 10 2025
United States,Jul 10 2021,605952,Apr 10 2025
United States,Jul  3 2021,604307,Apr 10 2025
United States,Jun 26 2021,602764,Apr 10 2025
United States,Jun 19 2021,601129,Apr 10 2025
United States,Jun 12 2021,599353,Apr 10 2025
United States,Jun  5 2021,597318,Apr 10 2025
United States,May 29 2021,594971,Apr 10 2025
United States,May 22 2021,592201,Apr 10 2025
United States,May 15 2021,588963,Apr 10 2025
United States,May  8 2021,585285,Apr 10 2025
United States,May  1 2021,581279,Apr 10 2025
United States,Apr 24 2021,577114,Apr 10 2025
United States,Apr 17 2021,572513,Apr 10 2025
United States,Apr 10 2021,568063,Apr 10 2025
United States,Apr  3 2021,563750,Apr 10 2025
United States,Mar 27 2021,559553,Apr 10 2025
United States,Mar 20 2021,555092,Apr 10 2025
United States,Mar 13 2021,550199,Apr 10 2025
United States,Mar  6 2021,544474,Apr 10 2025
United States,Feb 27 2021,537743,Apr 10 2025
United States,Feb 20 2021,529089,Apr 10 2025
United States,Feb 13 2021,518282,Apr 10 2025
United States,Feb  6 2021,504763,Apr 10 2025
United States,Jan 30 2021,487729,Apr 10 2025
United States,Jan 23 2021,467407,Apr 10 2025
United States,Jan 16 2021,443720,Apr 10 2025
United States,Jan  9 2021,418028,Apr 10 2025
United States,Jan  2 2021,392054,Apr 10 2025
United States,Dec 26 2020,367209,Apr 10 2025
United States,Dec 19 2020,343845,Apr 10 2025
United States,Dec 12 2020,321531,Apr 10 2025
United States,Dec  5 2020,300618,Apr 10 2025
United States,Nov 28 2020,282073,Apr 10 2025
United States,Nov 21 2020,266458,Apr 10 2025
